지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2021-04-01,12,24,,3.5,33
108,서울,2021-04-02,12.5,23,0,3.2,35.6
108,서울,2021-04-03,10.9,18,56.2,3.1,80.8
108,서울,2021-04-04,9,15.8,.6,3.2,65.8
108,서울,2021-04-05,5.4,19.3,,2.4,47.9
108,서울,2021-04-06,9.4,19.2,,2.5,50.9
108,서울,2021-04-07,8.1,20.4,,2.5,47.5
108,서울,2021-04-08,7.2,18,,2.7,34
108,서울,2021-04-09,7.6,19.6,,2.7,39.3
108,서울,2021-04-10,7.7,18.8,,2.6,50
108,서울,2021-04-11,7.5,21.8,,1.7,45.4
108,서울,2021-04-12,11.9,17.8,22,2.4,70.4
108,서울,2021-04-13,5.7,13.5,8,3.7,74
108,서울,2021-04-14,3.1,13.3,,2.9,58.5
108,서울,2021-04-15,6.3,18.3,,2.1,62.3
108,서울,2021-04-16,8.1,14.8,.7,2.6,60
108,서울,2021-04-17,6,14.6,0,2.6,56.6
108,서울,2021-04-18,5.6,15.3,,3.2,64.3
108,서울,2021-04-19,5.8,19.4,,2.4,65.3
108,서울,2021-04-20,8.1,22,,1.9,55.1
108,서울,2021-04-21,10.3,28.2,,1.8,43.1
108,서울,2021-04-22,16.1,27.5,,2.5,37.9
108,서울,2021-04-23,17,21.7,0,3.2,41.4
108,서울,2021-04-24,15.3,22.2,0,2.7,43
108,서울,2021-04-25,12.6,24,,2.7,50
108,서울,2021-04-26,12.3,20.6,,2.6,51.8
108,서울,2021-04-27,12.5,20,1.7,2.3,62.4
108,서울,2021-04-28,11.2,18.2,4.7,2.4,64.1
108,서울,2021-04-29,10.9,20.1,3.9,2.3,54.1
108,서울,2021-04-30,8.6,14.6,26.3,2.4,81.8
108,서울,2021-05-01,8.5,15.3,8,2.7,80.8
108,서울,2021-05-02,7.3,18.7,1.7,3.1,67.9
108,서울,2021-05-03,8.4,20.3,,2.1,56.4
108,서울,2021-05-04,11.4,15.8,19.6,2.1,82.6
108,서울,2021-05-05,10.3,18.4,.1,3.5,64.4
108,서울,2021-05-06,7.9,23.1,,2.4,46.4
108,서울,2021-05-07,10.7,17.2,8.8,3.4,60.3
108,서울,2021-05-08,8.9,21,,3.4,66.1
108,서울,2021-05-09,10,21.8,,3.5,51.3
108,서울,2021-05-10,11.7,14.6,0,1.8,67.9
108,서울,2021-05-11,9.4,25.7,,2.7,48.9
108,서울,2021-05-12,16.9,27.7,,2.2,39.5
108,서울,2021-05-13,16.6,29.6,,1.9,54.4
108,서울,2021-05-14,18,30.8,,1.7,60.3
108,서울,2021-05-15,20.8,26.2,15,1.7,79.5
108,서울,2021-05-16,14.8,20.8,66.9,2.5,97.6
108,서울,2021-05-17,14.2,16.7,3.1,1.6,93
108,서울,2021-05-18,13.6,24.5,,1.7,70.5
108,서울,2021-05-19,12.4,26.6,,1.8,52.3
108,서울,2021-05-20,15.6,22.9,.9,2.5,59.8
108,서울,2021-05-21,14.2,18.2,6.9,1.7,86.5
108,서울,2021-05-22,13.8,23.8,.2,2.5,69.3
108,서울,2021-05-23,14.3,25.1,,1.7,64.4
108,서울,2021-05-24,16.4,24.5,,2.7,61
108,서울,2021-05-25,11.9,19.3,8.3,3.2,72.3
108,서울,2021-05-26,11.5,23,0,2.9,58.5
108,서울,2021-05-27,13.9,18.7,8.9,2.8,83
108,서울,2021-05-28,12.4,19.7,12.3,2.6,86
108,서울,2021-05-29,12.8,19.1,.3,2.2,79.8
108,서울,2021-05-30,10.8,26.3,18.1,2.1,73
108,서울,2021-05-31,16.5,23.8,4,1.8,78.9
108,서울,2021-06-01,15.9,23.9,3.2,2.2,74.6
108,서울,2021-06-02,16.6,29.7,,2.1,64.4
108,서울,2021-06-03,14.6,22.7,18.1,1.8,80.8
108,서울,2021-06-04,13.3,23.6,,2.9,69.4
108,서울,2021-06-05,17,25.7,,3.3,68.1
108,서울,2021-06-06,18.4,28.2,,2.2,69.6
108,서울,2021-06-07,19.4,24,0,1.7,71.5
108,서울,2021-06-08,18.8,29.5,.1,1.7,69.6
108,서울,2021-06-09,19.5,31.6,,1.6,59.1
108,서울,2021-06-10,20.5,29.8,6.1,2.2,68.5
108,서울,2021-06-11,19.9,24.4,4.6,2.8,84.5
108,서울,2021-06-12,18.2,30.2,,1.8,74.6
108,서울,2021-06-13,20.9,29.7,,2,72.6
108,서울,2021-06-14,18.9,30.2,,2.1,68.8
108,서울,2021-06-15,21.5,25.3,1.9,2.3,79.1
108,서울,2021-06-16,20.3,28.9,,3.6,59.9
108,서울,2021-06-17,19.6,25,0,2.4,71.4
108,서울,2021-06-18,19,21.4,6.3,2.5,92.1
108,서울,2021-06-19,17.5,27.4,,1.8,74
108,서울,2021-06-20,17.6,29,,2.8,73.3
108,서울,2021-06-21,19.2,28.5,,2.2,67
108,서울,2021-06-22,19.7,28.6,0,2.1,67.9
108,서울,2021-06-23,18.8,27.9,7.5,2.4,70.5
108,서울,2021-06-24,18.5,28,,1.9,71.1
108,서울,2021-06-25,19.5,29.5,,2,69
108,서울,2021-06-26,19.9,26.7,4.5,1.8,78.5
108,서울,2021-06-27,19.8,30.8,38.2,2,72.1
108,서울,2021-06-28,21,29.2,.1,1.9,76.4
108,서울,2021-06-29,21.3,28.4,8,1.8,78.6
108,서울,2021-06-30,21,28.8,6,1.3,77.9
108,서울,2021-07-01,21.4,31,,1.8,70.9
108,서울,2021-07-02,23.6,31.8,,2.3,64.1
108,서울,2021-07-03,19.6,25.7,60,3.6,80
108,서울,2021-07-04,19.8,23.1,21.4,2.3,96.8
108,서울,2021-07-05,20.1,26.9,,1.4,80.3
108,서울,2021-07-06,21,30.1,,1.6,73.4
108,서울,2021-07-07,23.9,29.1,12.7,1.5,78.5
108,서울,2021-07-08,23.8,29.8,2.9,2,81.6
108,서울,2021-07-09,23.6,29.2,0,1.9,77.3
108,서울,2021-07-10,23.1,29.2,.5,2.4,80.4
108,서울,2021-07-11,24.1,27.5,.4,2.2,86.8
108,서울,2021-07-12,23.8,32.5,,1.6,75.1
108,서울,2021-07-13,26.3,31.5,,1.7,76.1
108,서울,2021-07-14,26.1,33.5,,2.2,71.4
108,서울,2021-07-15,25.9,34.5,0,2.1,71.1
108,서울,2021-07-16,24.2,35.2,,2.2,68.4
108,서울,2021-07-17,24.7,32.8,0,2.3,63.1
108,서울,2021-07-18,25.7,34.1,,2.1,62.5
108,서울,2021-07-19,24,30.5,67.4,1.9,80.1
108,서울,2021-07-20,23.6,31.8,0,1.5,75.8
108,서울,2021-07-21,25.3,35.3,,1.7,64
108,서울,2021-07-22,26.5,35.9,,2,59.8
108,서울,2021-07-23,27.2,35.8,,1.8,61.8
108,서울,2021-07-24,26.9,36.5,,1.7,57.4
108,서울,2021-07-25,27.2,35.9,,2,55.8
108,서울,2021-07-26,27.4,35.4,,2.4,54.9
108,서울,2021-07-27,27.8,35.7,,2.1,60.5
108,서울,2021-07-28,27.1,34.7,0,1.9,67.4
108,서울,2021-07-29,27,33.3,,2,69.9
108,서울,2021-07-30,25.8,35.4,,2.1,63.1
108,서울,2021-07-31,26.8,34.3,3,2.5,69.9
108,서울,2021-08-01,25.1,28.8,21,1.3,81.8
108,서울,2021-08-02,25,28.6,1.7,1.6,82.6
108,서울,2021-08-03,24.1,31.4,0,1.8,76.9
