지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2016-04-01,7.3,23.8,,2,26
108,서울,2016-04-02,9.6,21.7,,2.3,40.8
108,서울,2016-04-03,8.2,12.7,2,1.7,75.1
108,서울,2016-04-04,5.1,19.8,,2.2,42.6
108,서울,2016-04-05,5.9,18.1,,2.5,45.1
108,서울,2016-04-06,6.6,22.9,3,1.9,44.3
108,서울,2016-04-07,10.5,20.6,7.5,3,69.5
108,서울,2016-04-08,7.8,18.7,,2.5,76.1
108,서울,2016-04-09,7.4,14.1,,1.8,83.9
108,서울,2016-04-10,9.3,20.7,,2.1,71.3
108,서울,2016-04-11,5.7,19.4,,2.4,43.8
108,서울,2016-04-12,10.3,19.4,,2.3,42.6
108,서울,2016-04-13,11.4,21.4,1,1.7,67.5
108,서울,2016-04-14,9.3,18.6,,2.6,75.9
108,서울,2016-04-15,8.1,23.1,,2.6,46.4
108,서울,2016-04-16,9.8,20.7,23.5,2.9,58.9
108,서울,2016-04-17,8.3,14.5,20.5,4.7,66.8
108,서울,2016-04-18,7.1,18.6,1.5,3.1,65.4
108,서울,2016-04-19,6.5,19.2,,2.2,55.1
108,서울,2016-04-20,10.1,20.9,.5,2.1,54
108,서울,2016-04-21,10.3,16.9,17,2.8,87.6
108,서울,2016-04-22,10.1,18.6,0,2.6,83.4
108,서울,2016-04-23,7.8,19.8,,2.1,52.1
108,서울,2016-04-24,8.1,23.7,,1.9,39.6
108,서울,2016-04-25,10.2,25.3,,1.7,34.8
108,서울,2016-04-26,12.1,29.6,,2,34.8
108,서울,2016-04-27,14.5,20.7,,3.6,32
108,서울,2016-04-28,12.4,23,,2,34.4
108,서울,2016-04-29,10.9,22.6,.3,2.5,47.6
108,서울,2016-04-30,10.8,20.4,,2.8,45.3
108,서울,2016-05-01,12.2,26,,2.2,40.5
108,서울,2016-05-02,16.5,28.4,16.5,2.2,64.5
108,서울,2016-05-03,8.9,17.6,27,4.9,86.1
108,서울,2016-05-04,10.2,20.6,,5.1,46.6
108,서울,2016-05-05,10.2,26.9,7.5,1.7,50.8
108,서울,2016-05-06,13,18.6,9.5,2,89.3
108,서울,2016-05-07,10.7,22.6,,2.6,60.3
108,서울,2016-05-08,11.6,26.8,,2.1,44.8
108,서울,2016-05-09,16.3,25.4,0,2,43
108,서울,2016-05-10,12.5,18.1,13.5,2.3,82.4
108,서울,2016-05-11,10.4,23.5,,2,60.9
108,서울,2016-05-12,12.1,24,,2.7,62.4
108,서울,2016-05-13,12.7,25.4,.5,2.1,57
108,서울,2016-05-14,15.1,26.9,,2.3,47.1
108,서울,2016-05-15,12.3,24.2,45,2.7,73.9
108,서울,2016-05-16,10.8,21.9,2.5,3.2,57
108,서울,2016-05-17,10.9,26.6,,1.9,48.8
108,서울,2016-05-18,13.5,29.5,,1.9,40.3
108,서울,2016-05-19,16.3,31.9,,1.6,36.4
108,서울,2016-05-20,16.8,31.6,,1.8,32
108,서울,2016-05-21,17.8,30.4,,2,23.8
108,서울,2016-05-22,17.6,31.7,,1.9,35
108,서울,2016-05-23,18.3,29.4,,2.1,43
108,서울,2016-05-24,15.4,21.8,38.5,2.6,82.6
108,서울,2016-05-25,15.3,24.4,,2.7,67.9
108,서울,2016-05-26,17.5,22.9,0,1.8,72
108,서울,2016-05-27,14.8,27.1,,1.7,61.3
108,서울,2016-05-28,17.2,28,,2.1,56.1
108,서울,2016-05-29,17.2,27.6,,2.3,56.1
108,서울,2016-05-30,16.9,28.9,,2.4,57.3
108,서울,2016-05-31,17.4,27.6,,2.5,63.6
108,서울,2016-06-01,17.1,29.9,,2.1,45.8
108,서울,2016-06-02,17.2,29.1,,2.4,38.3
108,서울,2016-06-03,17.6,27.7,,2.2,48.1
108,서울,2016-06-04,18.2,26.3,,1.6,51.8
108,서울,2016-06-05,17.3,32.2,,1.7,47.3
108,서울,2016-06-06,20.8,28.4,0,2.3,49.1
108,서울,2016-06-07,19.6,25.9,.1,1.7,69.5
108,서울,2016-06-08,18.2,27.7,,2.3,65.9
108,서울,2016-06-09,17.8,31.3,,2,59.5
108,서울,2016-06-10,20.2,31.3,,2.2,60.9
108,서울,2016-06-11,20.9,26.5,3,1.7,74.3
108,서울,2016-06-12,19.9,26.7,1.5,2.1,79.4
108,서울,2016-06-13,19.4,29.6,,2.4,70.5
108,서울,2016-06-14,19.7,29.5,0,2.1,62.5
108,서울,2016-06-15,17.4,24.5,15.5,2.7,81.8
108,서울,2016-06-16,18.6,24.9,0,2.8,73.5
108,서울,2016-06-17,18.6,29.1,,2.5,63.1
108,서울,2016-06-18,20.1,29.9,,1.8,58
108,서울,2016-06-19,20.3,29.3,0,1.9,64.5
108,서울,2016-06-20,19.6,30.7,,1.7,66
108,서울,2016-06-21,21,31.3,,1.7,60.1
108,서울,2016-06-22,20.9,30.2,30.5,2,75.1
108,서울,2016-06-23,19.6,29.4,.1,2.1,71
108,서울,2016-06-24,21.1,25.7,3.5,2,75.8
108,서울,2016-06-25,19.2,26.7,,2.8,63.1
108,서울,2016-06-26,19.4,30.3,,2.7,58.4
108,서울,2016-06-27,19.9,29.5,,1.6,55.5
108,서울,2016-06-28,20.4,29.7,,1.8,61.1
108,서울,2016-06-29,20.9,30.2,,2.2,58
108,서울,2016-06-30,23,26.9,.2,2.8,78.1
108,서울,2016-07-01,22,26.6,108.5,2.3,86.5
108,서울,2016-07-02,20.6,27.7,4,2.4,81.4
108,서울,2016-07-03,21.1,26.8,,1.6,70.4
108,서울,2016-07-04,20.2,24.1,29.5,3,85.1
108,서울,2016-07-05,20.2,24.8,100.5,2.8,93.6
108,서울,2016-07-06,20.3,26.9,0,1.9,74
108,서울,2016-07-07,20.1,28.5,0,1.3,71.6
108,서울,2016-07-08,21.2,32.4,,1.8,66.5
108,서울,2016-07-09,23.2,32.7,,2,64.8
108,서울,2016-07-10,23.2,33.1,,1.8,64.4
108,서울,2016-07-11,24.8,33.4,0,1.7,67.4
108,서울,2016-07-12,22.1,30.9,3,2.1,65.5
108,서울,2016-07-13,23.2,29.5,0,2.1,69
108,서울,2016-07-14,24,32.4,.1,2.1,66.9
108,서울,2016-07-15,23.7,29.2,1.5,2.6,60
108,서울,2016-07-16,19.8,23.8,46.5,3.5,92.8
108,서울,2016-07-17,20.4,23.1,2.5,2.6,82.9
108,서울,2016-07-18,20.7,28.4,.2,1.5,75.1
108,서울,2016-07-19,20.9,32.4,,1.5,65.5
108,서울,2016-07-20,24,32.9,,1.9,62.5
108,서울,2016-07-21,24.9,32.2,,2.2,61.3
108,서울,2016-07-22,25.3,34.1,,2.2,64
108,서울,2016-07-23,27.2,31.6,.5,1.9,70.4
108,서울,2016-07-24,27,30.1,.5,2,77.9
108,서울,2016-07-25,26.4,31.4,,1.9,75.3
108,서울,2016-07-26,25.6,31.9,,2.6,69
108,서울,2016-07-27,26.7,28.9,.5,3.2,76.4
108,서울,2016-07-28,26.7,30.5,.2,2.8,70.6
108,서울,2016-07-29,23.4,28.4,59.5,1.6,82.3
108,서울,2016-07-30,26.4,33,.5,2.1,73.5
108,서울,2016-07-31,26.6,32.8,.2,1.6,72.1
108,서울,2016-08-01,25.8,32.4,,1.6,72
108,서울,2016-08-02,25,31.1,2,1.2,72.5
108,서울,2016-08-03,24,34.2,,1.6,65.4
108,서울,2016-08-04,26,35.7,,1.6,59.6
108,서울,2016-08-05,26.5,36,,1.8,60.1
108,서울,2016-08-06,26.6,34,,1.7,64.8
108,서울,2016-08-07,27,35,,1.9,56
108,서울,2016-08-08,26.4,35.5,,1.8,63.1
108,서울,2016-08-09,26.4,33.6,1,1.9,68.3
108,서울,2016-08-10,26.1,34.8,,1.9,66.3
108,서울,2016-08-11,26.1,36.4,,2,64.1
108,서울,2016-08-12,26.4,35.9,,2,68.3
108,서울,2016-08-13,26.8,35.1,,2.4,67.9
108,서울,2016-08-14,27.3,31.8,.2,1.9,74
108,서울,2016-08-15,25.8,34,0,1.9,65.5
108,서울,2016-08-16,26.2,34.9,.5,1.6,64.9
108,서울,2016-08-17,25.1,34.7,,1.9,60.4
108,서울,2016-08-18,26.2,34.3,,1.6,61.9
108,서울,2016-08-19,26.6,33.2,11.5,1.4,69.5
108,서울,2016-08-20,26.5,34.9,,1.7,59
108,서울,2016-08-21,26.9,36.6,0,2.1,57.5
108,서울,2016-08-22,25.8,36.3,.4,2.1,58
108,서울,2016-08-23,26,33,8,2.1,68.8
108,서울,2016-08-24,26.4,32.9,0,1.8,59.1
108,서울,2016-08-25,24,32.2,4.5,1.9,70.4
108,서울,2016-08-26,19.5,28.2,20,3.6,57
108,서울,2016-08-27,16.9,29.7,0,3.1,43.3
108,서울,2016-08-28,18.3,24.5,1.5,2.6,62.5
108,서울,2016-08-29,17.4,27.1,,2,54.5
108,서울,2016-08-30,17.9,24.5,0,3.3,60.4
108,서울,2016-08-31,16.1,19.2,17.5,3.8,85.3
108,서울,2016-09-01,15.8,28.6,,3.1,71.3
108,서울,2016-09-02,20.6,29,4.5,2.7,68.5
108,서울,2016-09-03,20.4,28.6,.5,1.8,73.8
108,서울,2016-09-04,22.1,29.6,,1.5,71.3
108,서울,2016-09-05,23,31.1,,1.7,66.1
108,서울,2016-09-06,21,29,,1.8,69
108,서울,2016-09-07,20.9,28.6,,1.8,69.8
108,서울,2016-09-08,21.5,26.5,4.5,1.3,76.4
108,서울,2016-09-09,19.7,29.3,,1.8,71.1
108,서울,2016-09-10,20,29.1,,1.6,65.4
108,서울,2016-09-11,22.1,28.2,,1.7,66.3
108,서울,2016-09-12,21.4,27.5,2.5,1.9,68.9
108,서울,2016-09-13,19.6,30.8,,1.8,62.5
108,서울,2016-09-14,21.4,28.9,,1.8,66.1
108,서울,2016-09-15,18.8,29.5,,1.3,68.1
108,서울,2016-09-16,20.4,29.5,,1.5,64.9
108,서울,2016-09-17,18.5,28.2,7,2.9,64.8
108,서울,2016-09-18,20.2,28.3,,3.1,53.4
108,서울,2016-09-19,18.2,27.8,,3.5,53.3
108,서울,2016-09-20,15.4,26.8,,3.1,41.1
108,서울,2016-09-21,14.3,25.3,,2,43.4
108,서울,2016-09-22,17.5,27.2,,1.8,46.3
108,서울,2016-09-23,16.4,27.9,,1.6,57.9
108,서울,2016-09-24,16.5,28.9,,1.6,60.6
108,서울,2016-09-25,18.6,29.7,,1.2,57.6
108,서울,2016-09-26,19.7,28.9,,1.8,59.1
108,서울,2016-09-27,19.1,23.8,13.5,1.3,82.5
108,서울,2016-09-28,18.7,21.8,.5,1.3,84.6
108,서울,2016-09-29,18.2,24.8,,3,64.4
108,서울,2016-09-30,17.7,23.5,,1.6,66.9
108,서울,2016-10-01,17.5,25.6,,1.2,69
108,서울,2016-10-02,16.7,22.4,18.5,2.7,84.1
108,서울,2016-10-03,19.6,27.9,6.5,2.7,73.3
108,서울,2016-10-04,15.6,29,,2.4,58.9
108,서울,2016-10-05,17.5,27.2,,3,61.9
108,서울,2016-10-06,13.6,23.5,,2.6,59.3
108,서울,2016-10-07,16.5,24.8,2,2.6,67.8
108,서울,2016-10-08,10.3,21.8,6,2.9,66.4
108,서울,2016-10-09,6.5,16.6,,2.9,46.3
108,서울,2016-10-10,7.4,21.4,,1.6,43.3
108,서울,2016-10-11,10,21.1,,1.8,62.4
108,서울,2016-10-12,11.4,20.7,,2,57
108,서울,2016-10-13,9.3,21.9,,1.4,44.1
108,서울,2016-10-14,10.5,23.5,,1.3,61.8
108,서울,2016-10-15,12.4,27.1,,1.3,60.6
108,서울,2016-10-16,15.4,19.5,1.5,1.5,74.1
108,서울,2016-10-17,14.5,21.7,,1.4,76.1
108,서울,2016-10-18,11.2,24,,1.4,70.9
108,서울,2016-10-19,14,24.3,,1.5,67.6
108,서울,2016-10-20,12.9,25.8,,1.8,61.3
108,서울,2016-10-21,15.7,22,,3,58.6
108,서울,2016-10-22,14.5,22.8,,1.8,59
108,서울,2016-10-23,10.6,17.8,2.5,4,66.3
108,서울,2016-10-24,9,20.6,,2.4,54.8
108,서울,2016-10-25,12.5,17.5,37,2.2,84
108,서울,2016-10-26,10.5,16.3,0,1.4,81
108,서울,2016-10-27,8.6,20.9,,1.9,65.4
108,서울,2016-10-28,10.2,18.4,.3,2.5,61.8
108,서울,2016-10-29,3.5,11.2,,3,40.3
108,서울,2016-10-30,1.6,15.1,,1.5,31.9
108,서울,2016-10-31,.7,8.2,.5,2,59.9
