지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2017-04-01,4.8,15.1,1,2.1,60.5
108,서울,2017-04-02,3.1,15.8,,2.1,53.1
108,서울,2017-04-03,4.3,19.2,,2.1,45.6
108,서울,2017-04-04,6.7,21.8,,2,35.3
108,서울,2017-04-05,10.8,14.2,37.5,2.4,66
108,서울,2017-04-06,9.4,12.4,3,2.4,90
108,서울,2017-04-07,9,23.5,,2.1,68.1
108,서울,2017-04-08,8.6,19.9,.5,2.5,74.5
108,서울,2017-04-09,10.6,20.5,.5,2.8,59.6
108,서울,2017-04-10,10.1,23.3,,2.8,25.8
108,서울,2017-04-11,11.5,20.2,,3.2,36.8
108,서울,2017-04-12,8.8,16.4,,3.7,21.8
108,서울,2017-04-13,6.3,19.6,0,2.5,54
108,서울,2017-04-14,10.1,17.7,6,3.5,57.9
108,서울,2017-04-15,10.9,24.3,,2.2,59.4
108,서울,2017-04-16,12.9,24.4,,1.4,52.9
108,서울,2017-04-17,11.2,18,5.5,2.2,66.5
108,서울,2017-04-18,9.4,17.4,7.5,2.5,76.5
108,서울,2017-04-19,7,18.4,,2.9,43.1
108,서울,2017-04-20,9.9,18.2,.1,2.3,45.4
108,서울,2017-04-21,7.6,19.3,,2,56.5
108,서울,2017-04-22,8.5,22.5,,2.1,48.4
108,서울,2017-04-23,8.9,21.7,,2.4,40
108,서울,2017-04-24,8.3,21.3,,2.7,39.4
108,서울,2017-04-25,12.9,20.4,,2.7,56.8
108,서울,2017-04-26,10.5,20.2,,3.3,36
108,서울,2017-04-27,7.9,19.8,,3.3,41.8
108,서울,2017-04-28,8.9,21.5,,3,57.3
108,서울,2017-04-29,9.6,23.7,,2.7,44.3
108,서울,2017-04-30,13.7,27.8,,2.6,57.9
108,서울,2017-05-01,12.8,28.3,,1.9,50.8
108,서울,2017-05-02,15.2,28,,2.1,42
108,서울,2017-05-03,14.5,30.2,,2,34.1
108,서울,2017-05-04,14.8,27.5,,2,43.6
108,서울,2017-05-05,15.5,27,,3.2,53.4
108,서울,2017-05-06,10,19.3,,3.8,32
108,서울,2017-05-07,10.9,22.8,,3.2,42.6
108,서울,2017-05-08,11.1,23.5,,2.1,43.6
108,서울,2017-05-09,15.3,22.6,2.5,1.6,62.6
108,서울,2017-05-10,14.2,20.8,2.5,2.5,73
108,서울,2017-05-11,13.1,24.8,0,1.8,65.3
108,서울,2017-05-12,16.8,21.1,,2.1,71.6
108,서울,2017-05-13,12.4,22.6,6,3.1,77.8
108,서울,2017-05-14,11,20.7,,3.7,58.3
108,서울,2017-05-15,12.3,20.1,0,2.8,61.4
108,서울,2017-05-16,13.3,22.3,,2,60.5
108,서울,2017-05-17,12.3,25.9,,2.1,51.5
108,서울,2017-05-18,13.9,26.9,,2.3,41.9
108,서울,2017-05-19,15.1,27.9,,2.6,42.6
108,서울,2017-05-20,15.4,27.3,,2.4,44
108,서울,2017-05-21,16,27.6,,2.3,48.1
108,서울,2017-05-22,15.9,28,,2,53.6
108,서울,2017-05-23,17.2,24.4,5,1.9,68
108,서울,2017-05-24,16.9,27.8,.1,2,60.4
108,서울,2017-05-25,14.4,24.4,,3.4,45.6
108,서울,2017-05-26,12.4,23.2,,2.9,41.5
108,서울,2017-05-27,13.7,26.4,,2.2,46.1
108,서울,2017-05-28,14.4,27.9,,2.7,50.6
108,서울,2017-05-29,18.1,29.3,,2.3,61.8
108,서울,2017-05-30,18.6,30.3,,2.4,43.5
108,서울,2017-05-31,17.7,29.6,,1.9,49.1
108,서울,2017-06-01,20,27,,3.1,51.8
108,서울,2017-06-02,15.5,25.6,0,2.8,37.4
108,서울,2017-06-03,16.1,26.5,,3,44
108,서울,2017-06-04,15.1,28.1,,2.6,36.9
108,서울,2017-06-05,16.4,30.3,0,1.9,33.3
108,서울,2017-06-06,14.5,23.9,15.5,2.5,60
108,서울,2017-06-07,15.1,19.2,12.5,2.4,91.4
108,서울,2017-06-08,15.1,25.9,,2.8,67.3
108,서울,2017-06-09,17.9,25.7,.1,3.3,69.8
108,서울,2017-06-10,16.7,27.5,4.5,2.3,46.8
108,서울,2017-06-11,14.8,29.6,,2.2,33.8
108,서울,2017-06-12,17,28,,2.8,45.5
108,서울,2017-06-13,18.3,25.9,0,2.4,63
108,서울,2017-06-14,17.8,26.8,,2.8,63
108,서울,2017-06-15,18,29.6,,2.5,62.4
108,서울,2017-06-16,20,32.7,,2.2,55.8
108,서울,2017-06-17,20.6,29.9,,2.4,52.3
108,서울,2017-06-18,18.6,31.8,,2.3,52
108,서울,2017-06-19,19.5,30.2,,1.8,50.9
108,서울,2017-06-20,20,32.7,0,2.1,43.4
108,서울,2017-06-21,21.7,31.6,0,2.9,52.6
108,서울,2017-06-22,21.2,30.4,,2.5,57.3
108,서울,2017-06-23,21.3,34.1,,2,53
