지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2020-04-01,6,17.4,,3.7,35.6
108,서울,2020-04-02,3.4,15.5,,2.3,41.4
108,서울,2020-04-03,5.3,16.3,,2.7,53.8
108,서울,2020-04-04,5,13.3,,3.4,36.4
108,서울,2020-04-05,1.9,13.7,,2.8,29.5
108,서울,2020-04-06,2.9,16.1,,2.4,38.3
108,서울,2020-04-07,6,16.8,,2.5,56.6
108,서울,2020-04-08,5.2,14.2,,3.5,25.5
108,서울,2020-04-09,4.3,14.7,,2.8,44.6
108,서울,2020-04-10,5.8,16.8,,2.4,52.6
108,서울,2020-04-11,6.2,16,,2.5,63.8
108,서울,2020-04-12,4.4,15.6,,3.8,58.6
108,서울,2020-04-13,4.3,20.4,,3.1,39.4
108,서울,2020-04-14,7.6,19.6,,2.4,46.8
108,서울,2020-04-15,7.2,20.2,,2.2,39.8
108,서울,2020-04-16,8.9,23.8,,2.3,39.9
108,서울,2020-04-17,10.4,15.4,6.5,2.4,77.8
108,서울,2020-04-18,8.5,19.6,,2.6,67.9
108,서울,2020-04-19,9.5,15.5,10.3,2.7,75.8
108,서울,2020-04-20,7.6,13.1,.1,3.3,73
108,서울,2020-04-21,4.8,10.4,,4.4,49
108,서울,2020-04-22,4.1,8.3,0,4,46.8
108,서울,2020-04-23,2.9,12.8,,3.7,47.8
108,서울,2020-04-24,4.1,14.3,,3.9,55.6
108,서울,2020-04-25,9.9,17.1,,3.9,54.4
108,서울,2020-04-26,6.8,19,,3.2,43.1
108,서울,2020-04-27,8.7,18.3,,2.8,49.8
108,서울,2020-04-28,7.8,19.9,,3,50
108,서울,2020-04-29,9.3,21,,2.6,48.6
108,서울,2020-04-30,9.3,23.4,,2.7,57.1
108,서울,2020-05-01,16.4,26.2,,2.7,73.6
108,서울,2020-05-02,18,23.9,0,2.3,79.6
108,서울,2020-05-03,17,27.4,0,2,68.8
108,서울,2020-05-04,14.8,25.3,,2.7,63.9
108,서울,2020-05-05,13.1,19.3,,1.9,67.9
108,서울,2020-05-06,11.1,27.6,,2.1,50
108,서울,2020-05-07,14.9,26.5,,2.5,32.5
108,서울,2020-05-08,14.3,27.3,2.3,2.4,32.8
108,서울,2020-05-09,12.7,16.8,24.4,3.6,94.4
108,서울,2020-05-10,12.8,16.6,1.3,2.5,88.6
108,서울,2020-05-11,12.4,22,3.4,3,61
108,서울,2020-05-12,10.5,18.9,.7,2.9,69.4
108,서울,2020-05-13,10.2,21.8,,2.8,47.3
108,서울,2020-05-14,12.4,25.4,,2,35.4
108,서울,2020-05-15,14.1,20.2,12,3,81.4
108,서울,2020-05-16,15,20.3,2.5,1.6,90.3
108,서울,2020-05-17,14.6,24.9,0,1.7,80.1
108,서울,2020-05-18,13.2,26.8,29.8,2.4,79.4
108,서울,2020-05-19,10.1,17.1,19,3.2,73.6
108,서울,2020-05-20,9.2,20.1,0,1.9,60.4
108,서울,2020-05-21,10.9,22.9,,2.1,56.1
108,서울,2020-05-22,14.8,22.7,0,1.9,68.5
108,서울,2020-05-23,16.6,25,0,2.2,66.1
108,서울,2020-05-24,14.3,20.2,14.5,2.9,84.8
108,서울,2020-05-25,13.7,21.3,,2.1,81
108,서울,2020-05-26,12.7,22.9,1.5,2.1,81.9
