지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2018-04-01,11.7,18.5,,1.5,68.8
108,서울,2018-04-02,14.9,23.7,,1.9,64
108,서울,2018-04-03,14.9,21.2,.1,2.1,72.9
108,서울,2018-04-04,9.5,18.2,18.5,1.9,67
108,서울,2018-04-05,6.7,9.5,10.5,2,90.6
108,서울,2018-04-06,3,8.6,6.5,3.1,71.6
108,서울,2018-04-07,1.4,8.6,.2,4.1,45.5
108,서울,2018-04-08,.6,7.9,3,1.8,59.6
108,서울,2018-04-09,.1,15.4,,1.1,57.9
108,서울,2018-04-10,6.9,21.9,5,3.5,51
108,서울,2018-04-11,8.7,17.3,,3,49.4
108,서울,2018-04-12,6.8,19.6,,2.6,30.5
108,서울,2018-04-13,8.3,19.3,,1.3,22.9
108,서울,2018-04-14,7.5,14.8,9,1.8,78.8
108,서울,2018-04-15,5.6,14.2,,2.4,65.5
108,서울,2018-04-16,4.9,18.8,,1.6,41.9
108,서울,2018-04-17,6.8,20.1,,1.9,37.9
108,서울,2018-04-18,6.2,19.3,,1.9,35.4
108,서울,2018-04-19,7.4,20.5,,1.9,38.8
108,서울,2018-04-20,11,26.3,,1.3,46
108,서울,2018-04-21,12.3,25.6,,1.9,32
108,서울,2018-04-22,10.7,21,15.5,1.1,57.4
108,서울,2018-04-23,8.4,10.7,59,2.2,93.9
108,서울,2018-04-24,8.9,16.1,3,1.4,63.3
108,서울,2018-04-25,5.7,23.3,,1.5,37.8
108,서울,2018-04-26,10,22.1,,2.1,51.9
108,서울,2018-04-27,9.7,23.3,,1.7,52.9
108,서울,2018-04-28,10.5,21.7,,2,49
108,서울,2018-04-29,9.4,22.9,,1.9,43.1
108,서울,2018-04-30,14.1,25,,1.6,61.6
108,서울,2018-05-01,17.8,23.3,0,1.5,72.8
108,서울,2018-05-02,8.7,19.7,12,1.9,90.4
108,서울,2018-05-03,6.9,14.7,1,2.7,62.4
108,서울,2018-05-04,8.8,20,,2.7,45.5
108,서울,2018-05-05,11.6,24.6,,2.6,46.8
108,서울,2018-05-06,15,20.7,22,1.1,86.4
108,서울,2018-05-07,14,25.5,,1.2,60.3
108,서울,2018-05-08,11.6,22.9,,1.7,50.9
108,서울,2018-05-09,9.2,21.8,,1.7,50.4
108,서울,2018-05-10,11.3,21.4,,2.3,67.4
108,서울,2018-05-11,11.9,21.3,,1.8,59.8
108,서울,2018-05-12,11.8,16.1,32,.9,89.3
108,서울,2018-05-13,12.7,20,.5,1.9,82.5
108,서울,2018-05-14,11.9,24.5,,1.4,71.4
108,서울,2018-05-15,15.4,29.3,0,1.1,56.4
108,서울,2018-05-16,21.8,24.4,45,1.9,93.8
