지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2019-04-01,.3,11.3,,2.5,39.8
108,서울,2019-04-02,1.3,13,,2.2,36.9
108,서울,2019-04-03,1.9,13.6,,2.3,36.1
108,서울,2019-04-04,3,15.7,,2.5,43
108,서울,2019-04-05,7,17.2,0,2.9,41
108,서울,2019-04-06,5.9,12.2,.8,1.1,39.9
108,서울,2019-04-07,5.6,20.3,,1.7,43.1
108,서울,2019-04-08,7.6,17.2,,2.5,25.6
108,서울,2019-04-09,4.7,13.9,17.4,2.4,49.1
108,서울,2019-04-10,4.7,10.2,5.6,1.8,78.4
108,서울,2019-04-11,4.3,15.7,,1.9,58
108,서울,2019-04-12,5.5,18.4,,2.2,48.5
108,서울,2019-04-13,6.2,17.9,,1.8,34
108,서울,2019-04-14,6.9,13.6,1.7,2.2,45.5
108,서울,2019-04-15,3.9,18.1,,1.8,30.9
108,서울,2019-04-16,6.8,22.6,,1.6,26.3
108,서울,2019-04-17,9.1,21.8,,1.9,37.5
108,서울,2019-04-18,10.4,16.2,0,2,74.4
108,서울,2019-04-19,9.6,19.7,,1.6,57.5
108,서울,2019-04-20,9.7,19.1,1.2,1.9,66.9
108,서울,2019-04-21,12.2,20.2,.3,1.9,77.8
108,서울,2019-04-22,10.7,28.2,,1.4,50.6
108,서울,2019-04-23,15.3,25.5,0,1.3,52
108,서울,2019-04-24,15.8,25.9,4.1,1.6,70.4
108,서울,2019-04-25,9.4,17.2,11.3,2,75.9
108,서울,2019-04-26,6.2,9.9,4.9,1.5,82.1
108,서울,2019-04-27,4.1,18.2,,1.7,52.6
108,서울,2019-04-28,9.9,16.6,0,1.6,48.8
108,서울,2019-04-29,8.3,17.3,,.9,52.9
108,서울,2019-04-30,9,22.5,,1.6,52.8
108,서울,2019-05-01,11.2,22.2,,2.3,48.9
108,서울,2019-05-02,10.6,25.3,,2.3,28.5
108,서울,2019-05-03,10.1,26.1,,1.6,37.5
108,서울,2019-05-04,12,27.4,,1.7,40.4
108,서울,2019-05-05,13.6,26.5,,2.2,35.8
108,서울,2019-05-06,9.8,19.8,0,3.1,27.1
108,서울,2019-05-07,8.4,21.9,,2.3,33.4
108,서울,2019-05-08,10.1,21.3,,2.3,48.3
108,서울,2019-05-09,11.7,22.9,,2.2,43.3
108,서울,2019-05-10,10.3,26.8,,1.9,48
108,서울,2019-05-11,13.2,28.3,,1.8,39
108,서울,2019-05-12,14.7,28.9,,1.5,36
108,서울,2019-05-13,15.5,22.8,0,1.6,43.4
108,서울,2019-05-14,12.9,26.9,,1.6,44.5
108,서울,2019-05-15,14.8,28,,1.7,48.1
108,서울,2019-05-16,16.7,30,,1.5,43.8
108,서울,2019-05-17,17.6,28.3,,1.2,44.9
108,서울,2019-05-18,19.1,25.9,0,2.1,46.8
108,서울,2019-05-19,17.9,21.6,22,1.2,93
108,서울,2019-05-20,13,20.2,8.7,3.4,63.6
108,서울,2019-05-21,11.7,23.8,,2.9,52
108,서울,2019-05-22,12.3,26.5,,2.4,46
108,서울,2019-05-23,15,29.2,,1.7,45
108,서울,2019-05-24,16.2,33.4,,1.7,46.4
108,서울,2019-05-25,18.4,28.6,,1.6,45.6
108,서울,2019-05-26,18.6,31.1,,1.8,39
108,서울,2019-05-27,14.3,22.3,7.1,2.4,80.9
108,서울,2019-05-28,11.9,24.6,,2.6,45.9
108,서울,2019-05-29,13.3,26.5,,2,48.4
108,서울,2019-05-30,14.6,24.5,0,2.4,48
108,서울,2019-05-31,16.1,23.3,,2.8,49.6
108,서울,2019-06-01,14.8,23.7,,1.9,60.5
108,서울,2019-06-02,14.1,27.8,,1.7,42.1
108,서울,2019-06-03,16,29.5,,1.8,42.9
108,서울,2019-06-04,17.6,29,,2.2,56.4
108,서울,2019-06-05,17.8,29.6,,1.8,63.8
108,서울,2019-06-06,18.6,25.1,7.5,1.2,75.9
108,서울,2019-06-07,17,24.7,35.3,1.9,77.3
108,서울,2019-06-08,16,27.6,,1.4,57.5
108,서울,2019-06-09,17.1,26.5,2.5,1.8,66.1
108,서울,2019-06-10,15.7,21.9,9.5,1.6,70.3
108,서울,2019-06-11,15.5,26.1,,1.4,51.1
108,서울,2019-06-12,16.1,26.4,,1.8,57.1
108,서울,2019-06-13,16.6,28.8,,1.7,51.9
108,서울,2019-06-14,19.1,28.4,,1.8,54.8
108,서울,2019-06-15,17.9,27.4,2.1,2.4,61.5
108,서울,2019-06-16,16.1,27.2,,1.6,55.4
108,서울,2019-06-17,18.1,26.2,0,2.3,59.1
108,서울,2019-06-18,17,24.8,13.8,1.5,78.6
108,서울,2019-06-19,18.9,25.4,.2,1.9,77.8
108,서울,2019-06-20,19.8,27.8,,1.9,70.6
108,서울,2019-06-21,19.4,26.1,.2,1.7,72.9
108,서울,2019-06-22,17.7,30.6,,1.5,42.3
108,서울,2019-06-23,19.1,31,,1.8,40.4
108,서울,2019-06-24,20.9,30.9,,2,46.9
108,서울,2019-06-25,19.5,32.8,,1.6,49.1
108,서울,2019-06-26,20.7,29.5,0,1.3,52.6
