지점,날짜,평균기온(℃),최고기온(℃),최저기온(℃),일강수량(mm),평균풍속(m/s),평균 상대습도(%)
110,2015-03-31,8.1,8.1,8.1,0.0,0.8,
110,2015-04-01,11.9,11.9,11.9,0.0,1.2,
110,2015-04-02,10.9,10.9,10.9,0.0,3.4,
112,2015-03-31,9.7,9.7,9.7,0.0,1.7,98.9
112,2015-04-01,12.7,12.7,12.7,0.0,1.6,98.9
112,2015-04-02,11.8,11.8,11.8,0.0,4.0,72.5
113,2015-03-31,8.4,8.4,8.4,0.0,2.0,
113,2015-04-01,11.4,11.4,11.4,0.0,2.6,
113,2015-04-02,11.1,11.1,11.1,0.0,5.0,
114,2015-03-31,12.9,12.9,12.9,0.0,1.2,55.4
114,2015-04-01,12.8,12.8,12.8,0.5,0.5,99.8
114,2015-04-02,9.6,9.6,9.6,0.0,1.8,70.0
115,2015-03-31,12.0,12.0,12.0,0.0,5.8,67.3
115,2015-04-01,12.8,12.8,12.8,0.0,4.9,92.6
115,2015-04-02,5.0,5.0,5.0,0.0,2.7,83.6
116,2015-03-31,8.8,8.8,8.8,0.0,3.2,92.2
116,2015-04-01,10.6,10.6,10.6,0.5,0.5,99.9
116,2015-04-02,6.4,6.4,6.4,0.0,5.8,84.3
119,2015-03-31,9.4,9.4,9.4,0.0,0.0,81.7
119,2015-04-01,12.8,12.8,12.8,0.0,1.3,99.9
119,2015-04-02,11.1,11.1,11.1,0.0,4.7,64.1
121,2015-03-31,14.0,14.0,14.0,0.0,3.2,43.8
121,2015-04-01,11.7,11.7,11.7,0.5,0.0,99.2
121,2015-04-02,6.3,6.3,6.3,0.0,1.7,78.0
127,2015-03-31,10.6,10.6,10.6,0.0,1.3,56.0
127,2015-04-01,11.9,11.9,11.9,0.1,0.2,99.9
127,2015-04-02,10.1,10.1,10.1,0.0,2.3,61.3
129,2015-03-31,6.5,6.5,6.5,0.0,0.2,92.9
129,2015-04-01,12.7,12.7,12.7,0.2,1.7,92.9
129,2015-04-02,11.3,11.3,11.3,0.0,1.8,74.5
130,2015-03-31,15.8,15.8,15.8,0.0,3.9,52.6
130,2015-04-01,15.4,15.4,15.4,0.0,4.0,67.1
130,2015-04-02,6.9,6.9,6.9,0.0,0.0,82.0
