지점,날짜,평균기온(℃),최고기온(℃),최저기온(℃),일강수량(mm),평균풍속(m/s),평균 상대습도(%)
316,2015-03-31,8.2,8.2,8.2,0.0,5.6,88.1
316,2015-04-01,13.0,13.0,13.0,0.0,4.9,99.9
316,2015-04-02,6.9,6.9,6.9,0.0,8.3,99.9
317,2015-03-31,9.7,9.7,9.7,0.0,1.0,92.1
317,2015-04-01,14.7,14.7,14.7,0.0,0.9,97.7
317,2015-04-02,11.7,11.7,11.7,0.0,3.7,87.4
318,2015-03-31,10.6,10.6,10.6,0.0,4.0,
318,2015-04-01,8.6,8.6,8.6,1.5,0.1,
318,2015-04-02,0.1,0.1,0.1,0.0,0.3,
319,2015-03-31,17.1,17.1,17.1,0.0,3.7,49.3
319,2015-04-01,14.4,14.4,14.4,0.0,0.8,82.9
319,2015-04-02,5.1,5.1,5.1,0.0,1.9,82.4
320,2015-03-31,5.7,5.7,5.7,0.0,5.7,
320,2015-04-01,6.3,6.3,6.3,0.5,1.0,
320,2015-04-02,-0.8,-0.8,-0.8,0.0,2.4,
321,2015-03-31,13.6,13.6,13.6,0.0,3.0,
321,2015-04-01,10.9,10.9,10.9,0.5,0.3,
321,2015-04-02,1.3,1.3,1.3,0.0,0.6,
322,2015-03-31,3.7,3.7,3.7,0.0,0.7,
322,2015-04-01,9.9,9.9,9.9,0.5,0.5,
322,2015-04-02,1.2,1.2,1.2,0.0,0.3,
323,2015-03-31,3.7,3.7,3.7,0.0,0.6,
323,2015-04-01,10.0,10.0,10.0,0.5,0.6,
323,2015-04-02,6.8,6.8,6.8,0.0,1.9,
324,2015-03-31,9.3,9.3,9.3,0.0,1.0,65.5
324,2015-04-01,11.7,11.7,11.7,0.0,0.1,97.6
324,2015-04-02,9.2,9.2,9.2,0.0,1.9,75.9
325,2015-03-31,7.7,7.7,7.7,0.0,0.4,85.3
325,2015-04-01,11.1,11.1,11.1,0.5,0.1,97.9
325,2015-04-02,7.6,7.6,7.6,0.0,1.4,82.9
326,2015-03-31,8.6,8.6,8.6,0.0,0.2,75.7
326,2015-04-01,11.2,11.2,11.2,0.0,0.1,99.9
326,2015-04-02,5.6,5.6,5.6,0.0,1.1,89.8
327,2015-03-31,10.6,10.6,10.6,0.0,0.1,71.8
327,2015-04-01,12.4,12.4,12.4,0.0,0.2,98.0
327,2015-04-02,10.2,10.2,10.2,0.0,1.3,77.1
328,2015-03-31,15.9,15.9,15.9,0.0,1.3,
328,2015-04-01,15.8,15.8,15.8,0.0,0.4,
328,2015-04-02,13.3,13.3,13.3,0.0,4.5,
329,2015-03-31,11.7,11.7,11.7,0.0,0.4,
329,2015-04-01,13.5,13.5,13.5,0.0,1.3,
329,2015-04-02,11.1,11.1,11.1,0.0,6.8,
330,2015-03-31,14.3,14.3,14.3,0.0,1.2,
330,2015-04-01,15.0,15.0,15.0,0.5,0.2,
330,2015-04-02,12.2,12.2,12.2,0.0,5.2,
351,2015-03-31,8.3,8.3,8.3,0.0,0.3,
351,2015-04-01,10.1,10.1,10.1,0.0,0.1,
351,2015-04-02,5.2,5.2,5.2,0.0,0.9,
352,2015-03-31,9.3,9.3,9.3,0.0,1.0,
352,2015-04-01,12.1,12.1,12.1,0.0,1.4,
352,2015-04-02,8.9,8.9,8.9,0.0,0.7,
353,2015-03-31,9.8,9.8,9.8,0.0,0.0,
353,2015-04-01,11.3,11.3,11.3,0.0,0.0,
353,2015-04-02,8.9,8.9,8.9,0.0,0.0,
354,2015-03-31,,,,0.0,,
354,2015-04-01,,,,0.0,,
354,2015-04-02,,,,0.0,,
355,2015-03-31,9.8,9.8,9.8,0.0,,
355,2015-04-01,12.5,12.5,12.5,0.5,,
355,2015-04-02,10.3,10.3,10.3,0.0,,
356,2015-03-31,9.6,9.6,9.6,0.0,,
356,2015-04-01,12.7,12.7,12.7,0.5,,
356,2015-04-02,11.1,11.1,11.1,0.0,,
357,2015-03-31,,,,0.0,,
357,2015-04-01,,,,0.0,,
357,2015-04-02,,,,0.0,,
358,2015-03-31,9.4,9.4,9.4,0.0,,
358,2015-04-01,12.4,12.4,12.4,0.0,,
358,2015-04-02,10.4,10.4,10.4,0.0,,
359,2015-03-31,10.6,10.6,10.6,0.0,,
359,2015-04-01,12.2,12.2,12.2,0.5,,
359,2015-04-02,9.1,9.1,9.1,0.0,,
360,2015-03-31,7.8,7.8,7.8,0.0,,
360,2015-04-01,11.6,11.6,11.6,0.0,,
360,2015-04-02,8.4,8.4,8.4,0.0,,
361,2015-03-31,6.9,6.9,6.9,0.0,,
361,2015-04-01,11.6,11.6,11.6,0.5,,
361,2015-04-02,7.3,7.3,7.3,0.0,,
364,2015-03-31,13.0,13.0,13.0,0.0,0.5,
364,2015-04-01,12.4,12.4,12.4,0.0,0.0,
364,2015-04-02,11.0,11.0,11.0,0.0,1.3,
365,2015-03-31,9.3,9.3,9.3,0.0,0.0,
365,2015-04-01,12.0,12.0,12.0,0.0,0.0,
365,2015-04-02,11.1,11.1,11.1,0.0,1.2,
366,2015-03-31,11.9,11.9,11.9,0.0,0.0,
366,2015-04-01,13.1,13.1,13.1,0.0,0.0,
366,2015-04-02,11.2,11.2,11.2,0.0,0.0,
367,2015-03-31,7.9,7.9,7.9,0.0,0.7,
367,2015-04-01,12.3,12.3,12.3,0.0,1.3,
367,2015-04-02,10.9,10.9,10.9,0.0,1.9,
368,2015-03-31,13.7,13.7,13.7,0.0,0.6,
368,2015-04-01,12.2,12.2,12.2,0.0,0.4,
368,2015-04-02,9.6,9.6,9.6,0.0,2.5,
369,2015-03-31,11.8,11.8,11.8,0.0,1.2,
369,2015-04-01,13.1,13.1,13.1,0.0,0.2,
369,2015-04-02,10.5,10.5,10.5,0.0,0.2,
370,2015-03-31,10.8,10.8,10.8,0.0,,
370,2015-04-01,11.5,11.5,11.5,0.5,,
370,2015-04-02,8.6,8.6,8.6,0.0,,
371,2015-03-31,11.1,11.1,11.1,0.0,,
371,2015-04-01,12.3,12.3,12.3,0.5,,
371,2015-04-02,10.5,10.5,10.5,0.0,,
372,2015-03-31,8.9,8.9,8.9,0.0,,
372,2015-04-01,11.9,11.9,11.9,0.0,,
372,2015-04-02,7.6,7.6,7.6,0.0,,
373,2015-03-31,8.4,8.4,8.4,0.0,,
373,2015-04-01,12.1,12.1,12.1,0.0,,
373,2015-04-02,6.9,6.9,6.9,0.0,,
374,2015-03-31,9.7,9.7,9.7,0.0,,
374,2015-04-01,12.8,12.8,12.8,0.5,,
374,2015-04-02,10.0,10.0,10.0,0.0,,
375,2015-03-31,9.5,9.5,9.5,0.0,,
375,2015-04-01,11.9,11.9,11.9,0.0,,
375,2015-04-02,9.1,9.1,9.1,0.0,,
400,2015-03-31,13.6,13.6,13.6,0.0,0.7,59.9
400,2015-04-01,12.7,12.7,12.7,0.0,1.1,96.7
400,2015-04-02,10.9,10.9,10.9,0.0,2.1,60.9
401,2015-03-31,13.3,13.3,13.3,0.0,0.4,
401,2015-04-01,13.0,13.0,13.0,0.0,0.8,
401,2015-04-02,11.7,11.7,11.7,0.0,0.9,
402,2015-03-31,13.4,13.4,13.4,0.0,0.2,68.9
402,2015-04-01,12.2,12.2,12.2,0.0,1.5,94.9
402,2015-04-02,9.7,9.7,9.7,0.0,1.4,67.4
403,2015-03-31,13.6,13.6,13.6,0.0,0.6,
403,2015-04-01,12.8,12.8,12.8,0.0,1.0,
403,2015-04-02,11.5,11.5,11.5,0.0,1.2,
404,2015-03-31,12.1,12.1,12.1,0.0,1.3,
404,2015-04-01,12.8,12.8,12.8,0.0,1.1,
404,2015-04-02,11.3,11.3,11.3,0.0,4.4,
405,2015-03-31,12.3,12.3,12.3,0.0,1.2,
405,2015-04-01,13.1,13.1,13.1,0.0,0.7,
405,2015-04-02,11.6,11.6,11.6,0.0,1.8,
406,2015-03-31,12.0,12.0,12.0,0.0,0.4,72.3
406,2015-04-01,11.8,11.8,11.8,0.0,0.1,99.9
406,2015-04-02,9.0,9.0,9.0,0.0,0.6,72.5
407,2015-03-31,11.8,11.8,11.8,0.0,0.5,74.5
407,2015-04-01,11.7,11.7,11.7,0.0,0.3,99.9
407,2015-04-02,9.2,9.2,9.2,0.0,2.5,72.5
408,2015-03-31,13.2,13.2,13.2,0.0,2.1,66.4
408,2015-04-01,12.4,12.4,12.4,0.0,0.6,99.9
408,2015-04-02,10.2,10.2,10.2,0.0,2.2,67.9
409,2015-03-31,13.8,13.8,13.8,0.0,1.7,64.7
409,2015-04-01,12.7,12.7,12.7,0.0,1.0,98.7
409,2015-04-02,10.2,10.2,10.2,0.0,2.6,67.3
410,2015-03-31,12.2,12.2,12.2,0.0,1.5,63.9
410,2015-04-01,12.9,12.9,12.9,0.0,1.5,93.6
410,2015-04-02,11.2,11.2,11.2,0.0,1.9,55.3
411,2015-03-31,11.8,11.8,11.8,0.0,1.3,70.6
411,2015-04-01,12.5,12.5,12.5,0.0,1.5,91.9
411,2015-04-02,10.5,10.5,10.5,0.0,4.2,62.5
412,2015-03-31,10.9,10.9,10.9,0.0,0.3,
412,2015-04-01,11.9,11.9,11.9,0.0,1.4,
412,2015-04-02,9.7,9.7,9.7,0.0,2.3,
413,2015-03-31,14.0,14.0,14.0,0.0,0.5,65.3
413,2015-04-01,13.0,13.0,13.0,0.0,1.2,99.2
413,2015-04-02,10.7,10.7,10.7,0.0,1.6,68.7
414,2015-03-31,12.6,12.6,12.6,0.0,0.6,75.8
414,2015-04-01,12.2,12.2,12.2,0.0,0.6,99.9
414,2015-04-02,10.1,10.1,10.1,0.0,2.1,70.1
415,2015-03-31,13.0,13.0,13.0,0.0,2.3,
415,2015-04-01,12.7,12.7,12.7,0.0,1.4,
415,2015-04-02,10.8,10.8,10.8,0.0,3.0,
416,2015-03-31,9.3,9.3,9.3,0.0,0.2,
416,2015-04-01,11.8,11.8,11.8,0.0,0.5,
416,2015-04-02,10.9,10.9,10.9,0.0,2.2,
417,2015-03-31,11.8,11.8,11.8,0.0,2.0,
417,2015-04-01,12.8,12.8,12.8,0.0,2.6,
417,2015-04-02,10.5,10.5,10.5,0.0,1.9,
418,2015-03-31,13.0,13.0,13.0,0.0,1.6,65.3
418,2015-04-01,13.0,13.0,13.0,0.0,1.3,95.2
418,2015-04-02,11.5,11.5,11.5,0.0,4.0,59.5
419,2015-03-31,11.2,11.2,11.2,0.0,0.9,
419,2015-04-01,11.3,11.3,11.3,0.0,3.0,
419,2015-04-02,8.6,8.6,8.6,0.0,2.8,
421,2015-03-31,13.5,13.5,13.5,0.0,1.0,67.7
421,2015-04-01,13.0,13.0,13.0,0.0,1.7,98.8
421,2015-04-02,10.8,10.8,10.8,0.0,2.7,67.2
422,2015-03-31,9.9,9.9,9.9,0.0,1.6,84.4
422,2015-04-01,10.5,10.5,10.5,0.0,3.1,99.9
422,2015-04-02,7.6,7.6,7.6,0.0,4.8,77.8
423,2015-03-31,10.2,10.2,10.2,0.0,0.9,79.3
423,2015-04-01,12.8,12.8,12.8,0.0,2.2,94.9
423,2015-04-02,11.7,11.7,11.7,0.0,4.8,60.0
424,2015-03-31,13.5,13.5,13.5,0.0,2.0,69.6
424,2015-04-01,12.8,12.8,12.8,0.0,1.0,98.9
424,2015-04-02,10.6,10.6,10.6,0.0,1.2,65.3
425,2015-03-31,10.3,10.3,10.3,0.0,0.4,79.7
425,2015-04-01,12.1,12.1,12.1,0.0,0.0,99.9
425,2015-04-02,10.6,10.6,10.6,0.0,2.1,67.9
430,2015-03-31,11.1,11.1,11.1,0.0,0.0,
430,2015-04-01,12.5,12.5,12.5,0.0,0.1,
430,2015-04-02,10.8,10.8,10.8,0.0,1.2,
431,2015-03-31,9.6,9.6,9.6,0.0,,
431,2015-04-01,11.3,11.3,11.3,0.0,,
431,2015-04-02,8.5,8.5,8.5,0.0,,
432,2015-03-31,12.7,12.7,12.7,0.0,,
432,2015-04-01,13.0,13.0,13.0,0.0,,
432,2015-04-02,11.3,11.3,11.3,0.0,,
433,2015-03-31,11.4,11.4,11.4,0.0,,
433,2015-04-01,12.6,12.6,12.6,0.0,,
433,2015-04-02,11.9,11.9,11.9,0.0,,
434,2015-03-31,12.4,12.4,12.4,0.0,,
434,2015-04-01,12.3,12.3,12.3,0.0,,
434,2015-04-02,11.5,11.5,11.5,0.0,,
435,2015-03-31,10.4,10.4,10.4,0.0,,
435,2015-04-01,13.3,13.3,13.3,0.5,,
435,2015-04-02,12.0,12.0,12.0,0.0,,
436,2015-03-31,7.7,7.7,7.7,0.0,,
436,2015-04-01,10.0,10.0,10.0,0.0,,
436,2015-04-02,8.2,8.2,8.2,0.0,,
437,2015-03-31,11.5,11.5,11.5,0.0,,
437,2015-04-01,12.6,12.6,12.6,0.0,,
437,2015-04-02,11.5,11.5,11.5,0.0,,
438,2015-03-31,11.6,11.6,11.6,0.0,,
438,2015-04-01,12.5,12.5,12.5,0.0,,
438,2015-04-02,11.5,11.5,11.5,0.0,,
439,2015-03-31,12.7,12.7,12.7,0.0,,
439,2015-04-01,14.7,14.7,14.7,0.0,,
439,2015-04-02,15.6,15.6,15.6,0.0,,
440,2015-03-31,12.2,12.2,12.2,0.0,,
440,2015-04-01,12.4,12.4,12.4,0.5,,
440,2015-04-02,10.4,10.4,10.4,0.0,,
441,2015-03-31,8.8,8.8,8.8,0.0,,
441,2015-04-01,11.1,11.1,11.1,0.0,,
441,2015-04-02,10.2,10.2,10.2,0.0,,
442,2015-03-31,11.2,11.2,11.2,0.0,0.4,
442,2015-04-01,11.7,11.7,11.7,0.0,0.0,
442,2015-04-02,8.3,8.3,8.3,0.0,1.0,
443,2015-03-31,7.3,7.3,7.3,0.0,,
443,2015-04-01,10.8,10.8,10.8,1.0,,
443,2015-04-02,9.3,9.3,9.3,0.0,,
444,2015-03-31,12.0,12.0,12.0,0.0,,
444,2015-04-01,13.7,13.7,13.7,0.0,,
444,2015-04-02,12.1,12.1,12.1,0.0,,
445,2015-03-31,9.7,9.7,9.7,0.0,,
445,2015-04-01,12.4,12.4,12.4,0.5,,
445,2015-04-02,11.0,11.0,11.0,0.0,,
446,2015-03-31,9.8,9.8,9.8,0.0,,
446,2015-04-01,13.0,13.0,13.0,0.5,,
446,2015-04-02,11.2,11.2,11.2,0.0,,
447,2015-03-31,7.9,7.9,7.9,0.0,,
447,2015-04-01,12.1,12.1,12.1,0.0,,
447,2015-04-02,7.0,7.0,7.0,0.0,,
448,2015-03-31,10.1,10.1,10.1,0.0,,
448,2015-04-01,12.2,12.2,12.2,0.5,,
448,2015-04-02,7.3,7.3,7.3,0.0,,
449,2015-03-31,10.0,10.0,10.0,0.0,,
449,2015-04-01,12.1,12.1,12.1,0.0,,
449,2015-04-02,9.2,9.2,9.2,0.0,,
450,2015-03-31,10.1,10.1,10.1,0.0,,
450,2015-04-01,11.5,11.5,11.5,0.0,,
450,2015-04-02,10.7,10.7,10.7,0.0,,
451,2015-03-31,9.7,9.7,9.7,0.0,,
451,2015-04-01,11.8,11.8,11.8,0.0,,
451,2015-04-02,9.6,9.6,9.6,0.0,,
452,2015-03-31,6.5,6.5,6.5,0.0,,
452,2015-04-01,11.1,11.1,11.1,0.0,,
452,2015-04-02,5.6,5.6,5.6,0.0,,
453,2015-03-31,10.2,10.2,10.2,0.0,,
453,2015-04-01,13.2,13.2,13.2,0.0,,
453,2015-04-02,12.1,12.1,12.1,0.0,,
454,2015-03-31,9.9,9.9,9.9,0.0,,
454,2015-04-01,12.4,12.4,12.4,0.0,,
454,2015-04-02,8.9,8.9,8.9,0.0,,
455,2015-03-31,9.1,9.1,9.1,0.0,,
455,2015-04-01,11.6,11.6,11.6,0.5,,
455,2015-04-02,5.7,5.7,5.7,0.0,,
456,2015-03-31,6.7,6.7,6.7,0.0,,
456,2015-04-01,10.4,10.4,10.4,0.5,,
456,2015-04-02,5.8,5.8,5.8,0.0,,
457,2015-03-31,9.8,9.8,9.8,0.0,,
457,2015-04-01,12.0,12.0,12.0,0.5,,
457,2015-04-02,10.3,10.3,10.3,0.0,,
458,2015-03-31,9.8,9.8,9.8,0.0,,
458,2015-04-01,11.6,11.6,11.6,0.0,,
458,2015-04-02,8.3,8.3,8.3,0.0,,
459,2015-03-31,8.3,8.3,8.3,0.0,,
459,2015-04-01,11.6,11.6,11.6,0.0,,
459,2015-04-02,9.1,9.1,9.1,0.0,,
460,2015-03-31,4.2,4.2,4.2,0.0,,
460,2015-04-01,7.9,7.9,7.9,0.0,,
460,2015-04-02,4.6,4.6,4.6,0.0,,
461,2015-03-31,7.4,7.4,7.4,0.0,,
461,2015-04-01,10.9,10.9,10.9,0.5,,
461,2015-04-02,8.2,8.2,8.2,0.0,,
462,2015-03-31,10.2,10.2,10.2,0.0,,
462,2015-04-01,11.1,11.1,11.1,0.5,,
462,2015-04-02,8.5,8.5,8.5,0.0,,
463,2015-03-31,9.6,9.6,9.6,0.0,0.4,
463,2015-04-01,11.2,11.2,11.2,0.0,0.6,
463,2015-04-02,7.7,7.7,7.7,0.0,0.9,
464,2015-03-31,5.3,5.3,5.3,0.0,,
464,2015-04-01,8.1,8.1,8.1,0.5,,
464,2015-04-02,5.0,5.0,5.0,0.0,,
465,2015-03-31,8.2,8.2,8.2,0.0,,
465,2015-04-01,11.1,11.1,11.1,0.5,,
465,2015-04-02,8.8,8.8,8.8,0.0,,
466,2015-03-31,10.3,10.3,10.3,0.0,,
466,2015-04-01,11.9,11.9,11.9,0.5,,
466,2015-04-02,7.7,7.7,7.7,0.0,,
467,2015-03-31,8.9,8.9,8.9,0.0,,
467,2015-04-01,12.1,12.1,12.1,1.0,,
467,2015-04-02,9.4,9.4,9.4,0.0,,
468,2015-03-31,8.8,8.8,8.8,0.0,,
468,2015-04-01,12.4,12.4,12.4,0.5,,
468,2015-04-02,11.2,11.2,11.2,0.0,,
469,2015-03-31,6.6,6.6,6.6,0.0,,
469,2015-04-01,11.4,11.4,11.4,1.0,,
469,2015-04-02,9.2,9.2,9.2,0.0,,
470,2015-03-31,8.8,8.8,8.8,0.0,,
470,2015-04-01,12.2,12.2,12.2,1.0,,
470,2015-04-02,10.4,10.4,10.4,0.0,,
471,2015-03-31,11.7,11.7,11.7,0.0,,
471,2015-04-01,12.2,12.2,12.2,0.5,,
471,2015-04-02,10.4,10.4,10.4,0.0,,
472,2015-03-31,8.8,8.8,8.8,0.0,,
472,2015-04-01,12.1,12.1,12.1,0.5,,
472,2015-04-02,10.3,10.3,10.3,0.0,,
473,2015-03-31,9.2,9.2,9.2,0.0,,
473,2015-04-01,11.6,11.6,11.6,0.0,,
473,2015-04-02,8.4,8.4,8.4,0.0,,
474,2015-03-31,8.3,8.3,8.3,0.0,,
474,2015-04-01,10.8,10.8,10.8,0.5,,
474,2015-04-02,4.9,4.9,4.9,0.0,,
475,2015-03-31,10.2,10.2,10.2,0.0,,
475,2015-04-01,10.7,10.7,10.7,0.5,,
475,2015-04-02,5.9,5.9,5.9,0.0,,
476,2015-03-31,5.7,5.7,5.7,0.0,,
476,2015-04-01,10.6,10.6,10.6,0.0,,
476,2015-04-02,4.4,4.4,4.4,0.0,,
477,2015-03-31,9.0,9.0,9.0,0.0,,
477,2015-04-01,11.5,11.5,11.5,0.0,,
477,2015-04-02,7.3,7.3,7.3,0.0,,
478,2015-03-31,6.1,6.1,6.1,0.0,,
478,2015-04-01,10.1,10.1,10.1,0.5,,
478,2015-04-02,5.9,5.9,5.9,0.0,,
479,2015-03-31,8.0,8.0,8.0,0.0,,
479,2015-04-01,11.2,11.2,11.2,0.0,,
479,2015-04-02,7.4,7.4,7.4,0.0,,
480,2015-03-31,4.9,4.9,4.9,0.0,,
480,2015-04-01,10.1,10.1,10.1,0.0,,
480,2015-04-02,4.4,4.4,4.4,0.0,,
481,2015-03-31,7.7,7.7,7.7,0.0,,
481,2015-04-01,11.0,11.0,11.0,0.0,,
481,2015-04-02,7.2,7.2,7.2,0.0,,
482,2015-03-31,7.3,7.3,7.3,0.0,,
482,2015-04-01,10.0,10.0,10.0,0.0,,
482,2015-04-02,7.2,7.2,7.2,0.0,,
483,2015-03-31,6.3,6.3,6.3,0.0,,
483,2015-04-01,11.1,11.1,11.1,0.5,,
483,2015-04-02,6.7,6.7,6.7,0.0,,
484,2015-03-31,11.7,11.7,11.7,0.0,,
484,2015-04-01,11.3,11.3,11.3,0.0,,
484,2015-04-02,6.7,6.7,6.7,0.0,,
485,2015-03-31,6.9,6.9,6.9,0.0,,
485,2015-04-01,11.1,11.1,11.1,0.5,,
485,2015-04-02,4.3,4.3,4.3,0.0,,
486,2015-03-31,8.9,8.9,8.9,0.0,,
486,2015-04-01,12.0,12.0,12.0,0.0,,
486,2015-04-02,7.4,7.4,7.4,0.0,,
487,2015-03-31,8.8,8.8,8.8,0.0,,
487,2015-04-01,11.2,11.2,11.2,0.0,,
487,2015-04-02,9.2,9.2,9.2,0.0,,
488,2015-03-31,8.6,8.6,8.6,0.0,,
488,2015-04-01,11.7,11.7,11.7,0.0,,
488,2015-04-02,10.2,10.2,10.2,0.0,,
489,2015-03-31,7.7,7.7,7.7,0.0,,
489,2015-04-01,11.7,11.7,11.7,0.5,,
489,2015-04-02,10.0,10.0,10.0,0.0,,
490,2015-03-31,9.1,9.1,9.1,0.0,,
490,2015-04-01,12.2,12.2,12.2,0.0,,
490,2015-04-02,8.4,8.4,8.4,0.0,,
491,2015-03-31,8.8,8.8,8.8,0.0,,
491,2015-04-01,12.0,12.0,12.0,0.0,,
491,2015-04-02,8.3,8.3,8.3,0.0,,
492,2015-03-31,,,,0.0,,
492,2015-04-01,,,,0.0,,
492,2015-04-02,,,,0.0,,
495,2015-03-31,8.8,8.8,8.8,0.0,,88.4
495,2015-04-01,12.4,12.4,12.4,1.0,0.0,99.9
495,2015-04-02,10.8,10.8,10.8,0.0,3.5,74.0
496,2015-03-31,9.5,9.5,9.5,0.0,0.3,85.0
496,2015-04-01,12.6,12.6,12.6,0.0,0.2,99.9
496,2015-04-02,10.5,10.5,10.5,0.0,1.4,79.7
497,2015-03-31,3.9,3.9,3.9,0.0,0.2,
497,2015-04-01,10.0,10.0,10.0,1.5,0.5,
497,2015-04-02,-1.0,-1.0,-1.0,0.0,0.2,
498,2015-03-31,7.5,7.5,7.5,0.0,7.1,58.3
498,2015-04-01,8.0,8.0,8.0,1.5,1.1,99.9
498,2015-04-02,2.8,2.8,2.8,0.0,3.1,85.1
499,2015-03-31,4.9,4.9,4.9,0.0,0.2,
499,2015-04-01,10.7,10.7,10.7,0.5,0.0,
499,2015-04-02,6.5,6.5,6.5,0.0,0.2,
500,2015-03-31,7.3,7.3,7.3,0.0,0.9,
500,2015-04-01,11.9,11.9,11.9,0.0,0.8,
500,2015-04-02,9.2,9.2,9.2,0.0,3.2,
501,2015-03-31,5.8,5.8,5.8,0.0,1.3,
501,2015-04-01,10.9,10.9,10.9,0.0,1.6,
501,2015-04-02,9.5,9.5,9.5,0.0,2.1,
502,2015-03-31,8.4,8.4,8.4,0.0,1.7,
502,2015-04-01,10.9,10.9,10.9,0.5,1.7,
502,2015-04-02,9.7,9.7,9.7,0.0,3.3,
503,2015-03-31,6.0,6.0,6.0,0.0,0.3,91.8
503,2015-04-01,10.9,10.9,10.9,0.5,0.3,97.0
503,2015-04-02,8.3,8.3,8.3,0.0,1.1,73.3
504,2015-03-31,6.6,6.6,6.6,0.0,0.6,61.8
504,2015-04-01,11.3,11.3,11.3,0.0,0.3,86.4
504,2015-04-02,8.8,8.8,8.8,0.0,2.5,57.1
505,2015-03-31,6.2,6.2,6.2,0.0,1.0,
505,2015-04-01,10.5,10.5,10.5,0.0,1.0,
505,2015-04-02,4.6,4.6,4.6,0.0,0.4,
506,2015-03-31,9.3,9.3,9.3,0.0,1.0,
506,2015-04-01,12.1,12.1,12.1,0.0,0.7,
506,2015-04-02,8.8,8.8,8.8,0.0,0.3,
507,2015-03-31,6.9,6.9,6.9,0.0,0.6,
507,2015-04-01,11.5,11.5,11.5,0.0,0.2,
507,2015-04-02,7.7,7.7,7.7,0.0,2.0,
508,2015-03-31,6.7,6.7,6.7,0.0,2.1,91.8
508,2015-04-01,11.3,11.3,11.3,0.5,3.7,93.7
508,2015-04-02,10.7,10.7,10.7,0.0,4.5,61.0
509,2015-03-31,11.9,11.9,11.9,0.0,2.7,
509,2015-04-01,12.1,12.1,12.1,0.0,0.0,
509,2015-04-02,10.8,10.8,10.8,0.0,1.2,
510,2015-03-31,12.7,12.7,12.7,0.0,1.0,
510,2015-04-01,13.2,13.2,13.2,0.0,1.4,
510,2015-04-02,11.6,11.6,11.6,0.0,2.0,
511,2015-03-31,8.9,8.9,8.9,0.0,0.0,
511,2015-04-01,12.1,12.1,12.1,0.0,1.0,
511,2015-04-02,11.4,11.4,11.4,0.0,1.9,
512,2015-03-31,8.5,8.5,8.5,0.0,0.1,
512,2015-04-01,12.8,12.8,12.8,0.0,0.2,
512,2015-04-02,11.9,11.9,11.9,0.0,2.1,
513,2015-03-31,4.6,4.6,4.6,0.0,0.0,
513,2015-04-01,11.1,11.1,11.1,0.0,2.2,
513,2015-04-02,10.4,10.4,10.4,0.0,3.9,
514,2015-03-31,7.1,7.1,7.1,0.0,0.0,94.9
514,2015-04-01,12.5,12.5,12.5,0.0,1.1,94.9
514,2015-04-02,11.2,11.2,11.2,0.0,5.1,74.6
515,2015-03-31,9.3,9.3,9.3,0.0,0.1,94.7
515,2015-04-01,12.7,12.7,12.7,0.0,0.9,99.9
515,2015-04-02,10.6,10.6,10.6,0.0,2.6,72.8
516,2015-03-31,8.8,8.8,8.8,0.0,0.4,80.4
516,2015-04-01,12.6,12.6,12.6,0.5,0.8,91.4
516,2015-04-02,11.0,11.0,11.0,0.0,3.9,68.7
517,2015-03-31,9.1,9.1,9.1,0.0,0.9,52.9
517,2015-04-01,8.6,8.6,8.6,0.5,1.7,93.5
517,2015-04-02,6.2,6.2,6.2,0.0,1.8,89.4
518,2015-03-31,11.6,11.6,11.6,0.0,1.1,43.4
518,2015-04-01,9.5,9.5,9.5,0.0,0.1,99.9
518,2015-04-02,-0.7,-0.7,-0.7,0.0,0.7,99.9
519,2015-03-31,4.2,4.2,4.2,0.0,0.8,71.2
519,2015-04-01,10.1,10.1,10.1,0.5,0.1,98.8
519,2015-04-02,1.4,1.4,1.4,0.0,0.6,98.7
520,2015-03-31,11.8,11.8,11.8,0.0,1.2,50.5
520,2015-04-01,9.3,9.3,9.3,1.0,1.5,97.6
520,2015-04-02,4.2,4.2,4.2,0.0,0.3,96.7
521,2015-03-31,17.3,17.3,17.3,0.0,3.5,27.8
521,2015-04-01,8.7,8.7,8.7,1.5,5.2,95.6
521,2015-04-02,3.3,3.3,3.3,0.0,1.2,99.9
522,2015-03-31,6.9,6.9,6.9,0.0,0.4,
522,2015-04-01,11.5,11.5,11.5,1.0,0.2,
522,2015-04-02,3.9,3.9,3.9,0.0,3.6,
523,2015-03-31,7.9,7.9,7.9,0.0,1.3,77.2
523,2015-04-01,10.0,10.0,10.0,3.5,4.6,99.9
523,2015-04-02,2.0,2.0,2.0,0.0,1.0,99.9
524,2015-03-31,17.4,17.4,17.4,0.0,4.8,39.1
524,2015-04-01,10.8,10.8,10.8,2.5,3.8,99.9
524,2015-04-02,3.4,3.4,3.4,0.0,0.1,99.9
525,2015-03-31,6.3,6.3,6.3,0.0,0.6,72.6
525,2015-04-01,9.9,9.9,9.9,2.0,0.0,99.9
525,2015-04-02,0.0,0.0,0.0,0.0,0.2,99.2
526,2015-03-31,6.6,6.6,6.6,0.0,0.2,69.8
526,2015-04-01,10.8,10.8,10.8,0.5,0.5,99.9
526,2015-04-02,2.5,2.5,2.5,0.0,0.0,98.9
527,2015-03-31,10.0,10.0,10.0,0.0,0.0,66.0
527,2015-04-01,10.9,10.9,10.9,0.0,0.0,99.5
